    .head__sof__
[2022-09-16 22:29]   # Logged inputs bellow File dynamicly generated by the shell
[2022-09-16 22:51]   logview -inputs
[2022-09-17 12:46]   exa -l
[2022-09-17 12:47]   exa -l -gridview
[2022-09-17 12:47]   exa -l -g
[2022-09-17 12:47]   exa -l -e
[2022-09-17 12:47]   exa -l -grid
[2022-09-17 12:47]   exa -grid
[2022-09-17 12:47]   exa -gridview
[2022-09-17 12:47]   exa -l
[2022-09-17 12:47]   cd ..
[2022-09-17 12:47]   exa -l -r
[2022-09-17 12:47]   exa -l
[2022-09-17 12:52]   cls
[2022-09-17 12:52]   restart
[2022-09-17 12:54]   help
[2022-09-17 12:54]   logview -inputs
[2022-09-17 12:55]   cd cmdlets
[2022-09-17 12:55]   cd $basedir
[2022-09-17 12:55]   cd cmdlets
[2022-09-17 12:55]   exa
[2022-09-17 12:55]   exa -l
[2022-09-17 12:55]   cd _builtins
[2022-09-17 12:55]   ls
[2022-09-17 12:55]   notepad logview.ps1
[2022-09-17 12:56]   logview -inputs
[2022-09-17 12:56]   cd ..
[2022-09-17 12:57]   pwsh
[2022-09-17 12:57]   logview -inputs
[2022-09-17 12:57]   logview -inputs
[2022-09-17 12:58]   cd ..
[2022-09-17 12:58]   reload
[2022-09-17 12:58]   cd ..
[2022-09-17 12:58]   cd ..
[2022-09-17 12:58]   restart
[2022-09-17 12:59]   restart
[2022-09-17 12:59]   restart
[2022-09-17 12:59]   reload
[2022-09-17 12:59]   reload
[2022-09-17 13:00]   reload
[2022-09-17 13:00]   cd ..
[2022-09-17 13:00]   cd ..
[2022-09-17 13:00]   reload
